"State","County","Metro/Small Town/Rural Status","Percent with SNAP","Percent Margin of Error (±)"
"South Dakota","Corson County","Rural area","0.332520335912704","0.025131706148386"
"Mississippi","Noxubee County","Rural area","0.332502484321594","0.0436190776526928"
"Alabama","Sumter County","Rural area","0.330258309841156","0.0408035889267921"
"Wisconsin","Menominee County","Small town","0.330041140317917","0.0423960573971272"
"Kentucky","Perry County","Rural area","0.328727543354034","0.0332373343408108"
"Georgia","Stewart County","Rural area","0.327323943376541","0.0530921965837479"
"Alabama","Lowndes County","Metro area","0.326333165168762","0.0369837284088135"
"South Carolina","Allendale County","Rural area","0.326184093952179","0.0616351589560509"
"Kentucky","Elliott County","Rural area","0.323170721530914","0.0672064647078514"
"Alabama","Dallas County","Small town","0.323125660419464","0.0229207761585712"
"Alaska","Nome Census Area","Rural area","0.321639448404312","0.0195554457604885"
"Mississippi","Bolivar County","Small town","0.32084459066391","0.0237915031611919"
"Kentucky","Harlan County","Rural area","0.320587992668152","0.0206349790096283"
"Mississippi","Tunica County","Metro area","0.319079756736755","0.0506621114909649"
"Kentucky","Jackson County","Rural area","0.318427681922913","0.0460193194448948"
"Missouri","Pemiscot County","Rural area","0.316472113132477","0.0251668132841587"
"Louisiana","St. Helena Parish","Metro area","0.316389799118042","0.044399056583643"
"Alaska","Yukon-Koyukuk Census Area","Rural area","0.316002011299133","0.0210190769284964"
"North Carolina","Northampton County","Small town","0.314994245767593","0.0308822058141232"
"Florida","Hamilton County","Rural area","0.314818739891052","0.0368420891463757"
"Kentucky","Leslie County","Rural area","0.314678460359573","0.0532841868698597"
"Louisiana","East Carroll Parish","Rural area","0.314430981874466","0.0549985691905022"
"Texas","Zapata County","Small town","0.311708509922028","0.0571883767843246"
"Texas","Maverick County","Small town","0.311633080244064","0.0311379078775644"
"Texas","Webb County","Metro area","0.311371177434921","0.00986352562904358"
"Texas","Hidalgo County","Metro area","0.311121553182602","0.00782345328480005"
"Mississippi","Holmes County","Rural area","0.311054795980453","0.0273704715073109"
"Idaho","Clark County","Rural area","0.310104519128799","0.160841047763824"
"Mississippi","Washington County","Small town","0.310061722993851","0.0191034134477377"
"Illinois","Alexander County","Metro area","0.308997631072998","0.0376792028546333"
"West Virginia","McDowell County","Rural area","0.308175325393677","0.0317564643919468"
"Kentucky","Powell County","Rural area","0.307884842157364","0.045789148658514"
"Kentucky","Martin County","Rural area","0.307101279497147","0.0368153266608715"
"Texas","Presidio County","Rural area","0.306822597980499","0.0750304758548737"
"Mississippi","Yazoo County","Metro area","0.305917292833328","0.0299578420817852"
"North Carolina","Halifax County","Small town","0.304252117872238","0.0200021658092737"
"West Virginia","Webster County","Rural area","0.304149806499481","0.0485719554126263"
"Tennessee","Lauderdale County","Rural area","0.304053366184235","0.0278460215777159"
"Georgia","Crisp County","Small town","0.302738279104233","0.0358857065439224"
"Kentucky","Floyd County","Rural area","0.300728678703308","0.0255012772977352"
"North Carolina","Robeson County","Small town","0.300322353839874","0.0106701487675309"
"South Dakota","Mellette County","Rural area","0.299012690782547","0.0393900461494923"
"South Carolina","Dillon County","Rural area","0.297853231430054","0.0298889800906181"
"Kentucky","Letcher County","Rural area","0.297394424676895","0.0357777625322342"
"Tennessee","Grundy County","Rural area","0.297286510467529","0.0385780148208141"
"North Dakota","Sioux County","Metro area","0.295186191797256","0.0362370945513248"
"Kentucky","Estill County","Rural area","0.294912844896317","0.0465445443987846"
"North Carolina","Hertford County","Rural area","0.293016314506531","0.0260390620678663"
"Kentucky","Lewis County","Rural area","0.291658997535706","0.0355633422732353"
"West Virginia","Mingo County","Rural area","0.291255861520767","0.0269164238125086"
"New Mexico","Luna County","Small town","0.290673702955246","0.0321688801050186"
"North Carolina","Edgecombe County","Metro area","0.289864003658295","0.0179199539124966"
"West Virginia","Clay County","Metro area","0.28918519616127","0.04252764955163"
"Kentucky","Morgan County","Rural area","0.287909418344498","0.0413169749081135"
"Texas","Duval County","Rural area","0.287769794464111","0.0523001365363598"
"South Carolina","Marion County","Rural area","0.287758469581604","0.0305653866380453"
"Georgia","Atkinson County","Rural area","0.287449389696121","0.0434833019971848"
"Arkansas","Desha County","Rural area","0.287136286497116","0.0322387777268887"
"Louisiana","Washington Parish","Small town","0.286784470081329","0.0244185104966164"
"Georgia","Mitchell County","Rural area","0.286531537771225","0.030834998935461"
"Georgia","Terrell County","Metro area","0.285326093435287","0.036936454474926"
"Georgia","Dooly County","Rural area","0.285214006900787","0.0371498130261898"
"Tennessee","Fentress County","Rural area","0.284709066152573","0.0261538531631231"
"Kentucky","Fulton County","Small town","0.284565299749374","0.0410454422235489"
"Kentucky","Johnson County","Rural area","0.284240365028381","0.0315811038017273"
"Virginia","Norton city","Small town","0.284176528453827","0.0684760957956314"
"Oregon","Malheur County","Small town","0.283660382032394","0.023048959672451"
"North Dakota","Rolette County","Rural area","0.282490611076355","0.0354105196893215"
"Alabama","Macon County","Rural area","0.282375246286392","0.0246278662234545"
"Arkansas","Woodruff County","Rural area","0.281945884227753","0.0301403980702162"
"North Carolina","Bladen County","Rural area","0.281644225120544","0.0258232764899731"
"Georgia","Taliaferro County","Rural area","0.279411762952805","0.0721561387181282"
"Virginia","Petersburg city","Metro area","0.278026551008224","0.0221041031181812"
"Georgia","Johnson County","Small town","0.277146458625793","0.0399074517190456"
"Georgia","Sumter County","Small town","0.27705591917038","0.0236036516726017"
"Kentucky","Wayne County","Rural area","0.275950014591217","0.0390143878757954"
"South Carolina","Clarendon County","Rural area","0.275937348604202","0.0217437501996756"
"Texas","Jim Hogg County","Rural area","0.275753766298294","0.0583648048341274"
"Georgia","Schley County","Small town","0.275461733341217","0.0429183542728424"
"North Carolina","Scotland County","Small town","0.275000005960464","0.0206918884068727"
"Georgia","Calhoun County","Rural area","0.274838000535965","0.0744848325848579"
"Texas","Frio County","Rural area","0.274678111076355","0.0489993318915367"
"Texas","Cameron County","Metro area","0.27457332611084","0.00872308388352394"
"Kentucky","Whitley County","Small town","0.274394094944","0.0289096478372812"
"North Carolina","Washington County","Rural area","0.274264842271805","0.0456303767859936"
"Arkansas","Chicot County","Rural area","0.273494511842728","0.0331067480146885"
"Tennessee","Haywood County","Small town","0.273242622613907","0.0344594158232212"
"Missouri","New Madrid County","Rural area","0.272963732481003","0.0222133249044418"
"Georgia","Dougherty County","Metro area","0.272727280855179","0.0136390160769224"
"Texas","Willacy County","Small town","0.272162824869156","0.0311677977442741"
"Florida","Hendry County","Small town","0.271981030702591","0.0300696771591902"
"Texas","Dimmit County","Rural area","0.271622806787491","0.0524501241743565"
"Georgia","Macon County","Rural area","0.271007478237152","0.0382784716784954"
"Georgia","Quitman County","Small town","0.270742356777191","0.0731211379170418"
"Texas","Hudspeth County","Metro area","0.270212769508362","0.0494906865060329"
"South Dakota","Bennett County","Rural area","0.269743591547012","0.0503563359379768"
"Georgia","Randolph County","Rural area","0.269599139690399","0.0616439171135426"
"Georgia","Taylor County","Rural area","0.269596189260483","0.0515777170658112"
"Ohio","Pike County","Rural area","0.268335163593292","0.0284747518599033"
"South Carolina","Williamsburg County","Rural area","0.267719149589539","0.0267373621463776"
"Arizona","Navajo County","Small town","0.267351120710373","0.0148785654455423"
"Alabama","Marengo County","Rural area","0.267272055149078","0.0304718669503927"
"Tennessee","Cocke County","Small town","0.266890972852707","0.0230221152305603"
"Ohio","Scioto County","Small town","0.266807705163956","0.0166323743760586"
"Arizona","Apache County","Rural area","0.266136109828949","0.0139862420037389"
"Tennessee","Meigs County","Rural area","0.265882343053818","0.0386635810136795"
"North Carolina","Richmond County","Small town","0.264979958534241","0.0227759834378958"
"Oklahoma","Choctaw County","Rural area","0.263877183198929","0.021406726911664"
"Alabama","Hale County","Metro area","0.263618022203445","0.0325731672346592"
"Florida","Gadsden County","Metro area","0.263488292694092","0.0247349869459867"
"Georgia","Jefferson County","Rural area","0.263364642858505","0.0326528623700142"
"Oregon","Klamath County","Small town","0.263291984796524","0.0174650177359581"
"South Carolina","Lee County","Rural area","0.262968748807907","0.0294438451528549"
"Virginia","Danville city","Small town","0.262692332267761","0.0193462632596493"
"Alaska","Dillingham Census Area","Rural area","0.262545466423035","0.0226253569126129"
"North Carolina","Bertie County","Rural area","0.262348502874374","0.0265023149549961"
"Colorado","Alamosa County","Rural area","0.261856704950333","0.0409249663352966"
"Maryland","Somerset County","Metro area","0.261767536401749","0.03958835080266"
"Ohio","Meigs County","Rural area","0.26119077205658","0.0269637946039438"
"Missouri","Dunklin County","Small town","0.260962158441544","0.0236236453056335"
"New Mexico","Cibola County","Small town","0.260498464107513","0.028366032987833"
"South Dakota","Dewey County","Rural area","0.260448217391968","0.0298663824796677"
"Tennessee","Morgan County","Metro area","0.260213255882263","0.0275096651166677"
"Mississippi","Jefferson County","Rural area","0.260073274374008","0.0538287982344627"
"Georgia","Wheeler County","Rural area","0.260048419237137","0.0491915009915829"
"Tennessee","Bledsoe County","Rural area","0.259978413581848","0.0374047122895718"
"Georgia","Emanuel County","Rural area","0.259632915258408","0.0257166158407927"
"Maryland","Baltimore city","Metro area","0.259071171283722","0.00517068011686206"
"New Mexico","McKinley County","Small town","0.259015172719955","0.0162161197513342"
"Georgia","Burke County","Metro area","0.258846819400787","0.0313626006245613"
"North Carolina","Vance County","Small town","0.258752167224884","0.0229333639144897"
"Tennessee","Union County","Metro area","0.258011281490326","0.0279454551637173"
"Louisiana","Claiborne Parish","Rural area","0.257206588983536","0.0334316864609718"
"Florida","Dixie County","Rural area","0.257193386554718","0.0454648993909359"
"Michigan","Wayne County","Metro area","0.25713312625885","0.00307875941507518"
"Mississippi","Tallahatchie County","Rural area","0.257129609584808","0.0356867238879204"
"Tennessee","McNairy County","Rural area","0.257038325071335","0.0278512798249722"
"Virginia","Galax city","Rural area","0.256956994533539","0.0636025667190552"
"Mississippi","Kemper County","Small town","0.256475239992142","0.0441795028746128"
"Colorado","Bent County","Rural area","0.25639533996582","0.0630001053214073"
"West Virginia","Roane County","Rural area","0.256346970796585","0.0360396467149258"
"Ohio","Adams County","Rural area","0.256132304668427","0.0272161550819874"
"Ohio","Vinton County","Rural area","0.255969256162643","0.0361316166818142"
"Alabama","Wilcox County","Rural area","0.255801677703857","0.0352149493992329"
"North Carolina","Lenoir County","Small town","0.255529016256332","0.0191707145422697"
"Arizona","Santa Cruz County","Small town","0.255373924970627","0.0250817742198706"
"South Carolina","Marlboro County","Small town","0.25523829460144","0.0301970243453979"
"Georgia","Meriwether County","Metro area","0.254948645830154","0.0300697889178991"
"Florida","Miami-Dade County","Metro area","0.254709333181381","0.00305373431183398"
"Georgia","Toombs County","Small town","0.25462606549263","0.031519427895546"
"Georgia","Early County","Rural area","0.254536420106888","0.0373978614807129"
"Alabama","Barbour County","Small town","0.253562808036804","0.0240431576967239"
"Pennsylvania","Philadelphia County","Metro area","0.253159135580063","0.00447819568216801"
"Arkansas","Monroe County","Rural area","0.252571076154709","0.03901082649827"
"Georgia","Ben Hill County","Small town","0.25247985124588","0.0349955856800079"
"West Virginia","Boone County","Metro area","0.252376914024353","0.0246809963136911"
"Mississippi","Winston County","Rural area","0.251768410205841","0.0297831315547228"
"New Mexico","Hidalgo County","Rural area","0.251276224851608","0.0499604679644108"
"Georgia","Marion County","Metro area","0.25124129652977","0.0522314459085464"
"Oregon","Jefferson County","Rural area","0.25075888633728","0.0275300219655037"
"Virginia","Franklin city","Rural area","0.250584125518799","0.0528418272733688"
"Louisiana","Evangeline Parish","Rural area","0.250526487827301","0.0221072472631931"
"Colorado","Costilla County","Rural area","0.250331997871399","0.0603207014501095"
"Florida","Hardee County","Small town","0.250066161155701","0.0362925194203854"
"Georgia","Clayton County","Metro area","0.250038802623749","0.0111856628209352"
"Kentucky","Pike County","Rural area","0.249410316348076","0.0151400612667203"
"Mississippi","Leflore County","Small town","0.249367445707321","0.0212870109826326"
"Oregon","Coos County","Small town","0.248301297426224","0.0202468726783991"
"Georgia","Ware County","Small town","0.247562646865845","0.0302062500268221"
"Georgia","Dodge County","Rural area","0.247402027249336","0.0265398677438498"
"Georgia","Turner County","Rural area","0.247150763869286","0.0508682355284691"
"Virginia","Martinsville city","Small town","0.247105583548546","0.0412808917462826"
"Georgia","Telfair County","Rural area","0.246966734528542","0.0519830733537674"
"Georgia","Warren County","Rural area","0.246823951601982","0.0448683574795723"
"Louisiana","Natchitoches Parish","Small town","0.246369764208794","0.0264457911252975"
"Oklahoma","Adair County","Rural area","0.246317923069","0.0190495885908604"
"Mississippi","Jefferson Davis County","Rural area","0.245563939213753","0.0389869548380375"
"Kentucky","Rockcastle County","Small town","0.245376080274582","0.0311169717460871"
"Kentucky","Lincoln County","Small town","0.245139390230179","0.0297782998532057"
"Georgia","Grady County","Rural area","0.244953632354736","0.0247881393879652"
"Georgia","Franklin County","Rural area","0.244915246963501","0.0280968956649303"
"Georgia","Heard County","Metro area","0.244729608297348","0.0345880202949047"
"New Mexico","San Miguel County","Small town","0.244590774178505","0.0269219372421503"
"Georgia","Worth County","Metro area","0.243617430329323","0.0428854376077652"
"Alaska","Lake and Peninsula Borough","Rural area","0.243589743971825","0.0297864526510239"
"Missouri","Ozark County","Rural area","0.243262246251106","0.0368588380515575"
"Illinois","Saline County","Rural area","0.24285714328289","0.0226272996515036"
"Mississippi","Issaquena County","Rural area","0.242677822709084","0.0942781493067741"
"Georgia","Miller County","Rural area","0.241670370101929","0.0412205196917057"
"Georgia","Peach County","Metro area","0.241420835256577","0.0271518509835005"
"Virginia","Lee County","Rural area","0.2411118298769","0.0291493851691484"
"Tennessee","Campbell County","Metro area","0.241038858890533","0.0193745009601116"
"Mississippi","Attala County","Rural area","0.240919098258018","0.0357971489429474"
"West Virginia","Logan County","Small town","0.240912988781929","0.0224850960075855"
"Arkansas","St. Francis County","Small town","0.240223467350006","0.0290972758084536"
"Georgia","Webster County","Rural area","0.239999994635582","0.0621869191527367"
"Washington","Yakima County","Metro area","0.239700227975845","0.00969616882503033"
"Georgia","Tattnall County","Rural area","0.239650592207909","0.0324196740984917"
"New York","Kings County","Metro area","0.239631742238998","0.00259120482951403"
"Missouri","Wright County","Rural area","0.239486142992973","0.0265615954995155"
"Georgia","Clinch County","Rural area","0.239302694797516","0.0392488688230515"
"Missouri","St. Louis city","Metro area","0.238959148526192","0.00745733734220266"
"Oregon","Umatilla County","Small town","0.238516628742218","0.0217044912278652"
"Georgia","Pulaski County","Metro area","0.238443464040756","0.0496204942464828"
"Maryland","Dorchester County","Small town","0.238073602318764","0.0226302817463875"
"Maine","Piscataquis County","Rural area","0.237982034683228","0.0217858888208866"
"Maine","Washington County","Rural area","0.23796658217907","0.0130744623020291"
"Georgia","Colquitt County","Small town","0.237776339054108","0.0262817721813917"
"Kentucky","Fleming County","Rural area","0.237347289919853","0.0334594137966633"
"Tennessee","Claiborne County","Rural area","0.236173048615456","0.0214807782322168"
"Georgia","Washington County","Rural area","0.236146867275238","0.0241503957659006"
"South Carolina","Darlington County","Metro area","0.235657215118408","0.0179412085562944"
"Georgia","McDuffie County","Metro area","0.235527455806732","0.0395376794040203"
"Arkansas","Crittenden County","Metro area","0.235294118523598","0.017828606069088"
"Louisiana","Jackson Parish","Rural area","0.235128879547119","0.0316464155912399"
"North Carolina","Anson County","Rural area","0.234991058707237","0.0304622314870358"
"Oregon","Josephine County","Metro area","0.234774857759476","0.0150288250297308"
"Mississippi","Wilkinson County","Rural area","0.23461939394474","0.0551598519086838"
"Oregon","Douglas County","Small town","0.234472081065178","0.0153709650039673"
"Georgia","Lanier County","Metro area","0.234395921230316","0.046153862029314"
"Georgia","Jasper County","Metro area","0.234381064772606","0.0340092740952969"
"Florida","Calhoun County","Rural area","0.234248071908951","0.0438638962805271"
"Florida","Suwannee County","Rural area","0.233953639864922","0.0316780656576157"
"California","Tulare County","Metro area","0.233859851956367","0.00853073783218861"
"New Mexico","Sierra County","Rural area","0.233851343393326","0.0355516113340855"
"Louisiana","Madison Parish","Rural area","0.233823522925377","0.0378963388502598"
"Georgia","Wilcox County","Rural area","0.233506307005882","0.0348416157066822"
"Michigan","Clare County","Rural area","0.23316302895546","0.0171006787568331"
"Oregon","Lincoln County","Small town","0.233140841126442","0.0158673208206892"
"West Virginia","Wyoming County","Rural area","0.233029708266258","0.0261422116309404"
"Missouri","Ripley County","Rural area","0.232579857110977","0.0300750080496073"
"Arkansas","Mississippi County","Small town","0.232313632965088","0.0198331531137228"
"Louisiana","Franklin Parish","Rural area","0.232047870755196","0.0305284317582846"
"Mississippi","Claiborne County","Small town","0.231971919536591","0.0398314073681831"
"Kentucky","Bath County","Small town","0.231910109519958","0.0314399749040604"
"Texas","El Paso County","Metro area","0.231731161475182","0.0060482700355351"
"Colorado","Conejos County","Rural area","0.231724143028259","0.0293558202683926"
"Kentucky","Metcalfe County","Small town","0.231514528393745","0.0401118583977222"
"Mississippi","Chickasaw County","Rural area","0.231322288513184","0.0288578998297453"
"Kentucky","Lawrence County","Rural area","0.231032237410545","0.0247968509793282"
"Georgia","Bibb County","Metro area","0.230980113148689","0.0125765157863498"
"Kentucky","Rowan County","Rural area","0.230732917785645","0.0396670214831829"
"Maine","Somerset County","Rural area","0.230398580431938","0.0160006210207939"
"Missouri","Carter County","Rural area","0.230241939425468","0.0522560104727745"
"Kentucky","Casey County","Rural area","0.230193391442299","0.0314780101180077"
"Montana","Big Horn County","Rural area","0.230149909853935","0.0349969826638699"
"Kentucky","Menifee County","Small town","0.230067431926727","0.0459372438490391"
"Oregon","Crook County","Small town","0.229929000139236","0.0327181108295918"
"Mississippi","Clay County","Small town","0.229919031262398","0.0292745511978865"
"Washington","Pacific County","Rural area","0.229913204908371","0.0261610317975283"
"West Virginia","Lincoln County","Metro area","0.22988073527813","0.0303291659802198"
"Georgia","Brooks County","Metro area","0.229867324233055","0.0398113094270229"
"New Mexico","Torrance County","Metro area","0.229852974414825","0.0394387394189835"
"Tennessee","Henderson County","Rural area","0.229827016592026","0.0265077333897352"
"Arkansas","Bradley County","Rural area","0.229670330882072","0.0351390466094017"
"Georgia","Hancock County","Small town","0.229648068547249","0.057986456900835"
"Alabama","Choctaw County","Rural area","0.22959366440773","0.0332811996340752"
"Georgia","Brantley County","Metro area","0.229487776756287","0.0397056825459003"
"Ohio","Perry County","Metro area","0.228740304708481","0.0219164416193962"
"Mississippi","Copiah County","Metro area","0.22860623896122","0.0292223524302244"
"North Carolina","Greene County","Rural area","0.22841303050518","0.0307092815637589"
"Florida","Madison County","Rural area","0.228357091546059","0.0327587090432644"
"Virginia","Hopewell city","Metro area","0.228287845849991","0.0392476581037045"
"Tennessee","Clay County","Rural area","0.228181526064873","0.046479269862175"
"South Carolina","Barnwell County","Rural area","0.228125765919685","0.0303744059056044"
"West Virginia","Summers County","Rural area","0.227396756410599","0.0335998609662056"
"South Carolina","Orangeburg County","Small town","0.227241396903992","0.0151301426813006"
"Michigan","Ogemaw County","Rural area","0.226980045437813","0.0186138544231653"
"Tennessee","Johnson County","Rural area","0.226898044347763","0.0307617429643869"
"North Carolina","Columbus County","Rural area","0.226795732975006","0.018488172441721"
"Tennessee","Hickman County","Metro area","0.226764544844627","0.0319071561098099"
"Maine","Aroostook County","Rural area","0.226550981402397","0.0125437341630459"
"North Carolina","Jones County","Metro area","0.226515337824821","0.0354121997952461"
"Michigan","Lake County","Rural area","0.226217567920685","0.0200480651110411"
"Virginia","Bristol city","Metro area","0.226046144962311","0.0259680300951004"
"Virginia","Brunswick County","Rural area","0.225764483213425","0.0318436026573181"
"Georgia","Polk County","Small town","0.225719660520554","0.0267853233963251"
"Virginia","Nottoway County","Rural area","0.22551092505455","0.0306869652122259"
"Louisiana","Iberville Parish","Metro area","0.225407630205154","0.0300383120775223"
"Georgia","Berrien County","Rural area","0.225379854440689","0.0307747591286898"
"Georgia","Seminole County","Rural area","0.225241541862488","0.0994620472192764"
"Florida","Putnam County","Small town","0.224749132990837","0.0190884117037058"
"Kentucky","Laurel County","Small town","0.224716663360596","0.0189046375453472"
"Georgia","Bleckley County","Rural area","0.224454790353775","0.0423584617674351"
"Wisconsin","Milwaukee County","Metro area","0.224435567855835","0.00386643200181425"
"Michigan","Genesee County","Metro area","0.224435165524483","0.00611574342474341"
"Missouri","Washington County","Rural area","0.224433392286301","0.0284081101417542"
"Tennessee","Hardeman County","Rural area","0.224045619368553","0.0276983808726072"
"Missouri","Iron County","Rural area","0.223703697323799","0.0275038797408342"
"Mississippi","Marion County","Rural area","0.223315045237541","0.0277002695947886"
"Montana","Glacier County","Rural area","0.223256930708885","0.0250737871974707"
"Oregon","Marion County","Metro area","0.223193511366844","0.00879503693431616"
"Georgia","Evans County","Rural area","0.222278475761414","0.0411064103245735"
"Ohio","Gallia County","Small town","0.222096562385559","0.0208117552101612"
"New Mexico","Mora County","Rural area","0.222077921032906","0.0835684612393379"
"Florida","Osceola County","Metro area","0.221807897090912","0.0133549477905035"
"Georgia","Richmond County","Metro area","0.221733137965202","0.00936410948634148"
"Massachusetts","Hampden County","Metro area","0.221701011061668","0.0059841345064342"
"Missouri","Wayne County","Rural area","0.221489667892456","0.0342790335416794"
"Tennessee","Cannon County","Metro area","0.22143916785717","0.0328687056899071"
"Georgia","Decatur County","Small town","0.221402570605278","0.0316310711205006"
"Mississippi","Jasper County","Small town","0.221385315060616","0.0366749987006187"
"Texas","Crosby County","Metro area","0.221327006816864","0.0362477079033852"
"Missouri","Douglas County","Rural area","0.220939338207245","0.0335233882069588"
"Ohio","Lawrence County","Metro area","0.220668584108353","0.0163769423961639"
"Tennessee","Decatur County","Rural area","0.220575958490372","0.0297418553382158"
"Illinois","Pulaski County","Rural area","0.220568925142288","0.0329944416880608"
"Mississippi","Stone County","Rural area","0.220499575138092","0.0423151589930058"
"Tennessee","Benton County","Rural area","0.220159158110619","0.0304145216941833"
"Georgia","Treutlen County","Rural area","0.220030933618546","0.0393022112548351"
"Texas","Floyd County","Rural area","0.219721764326096","0.0462829582393169"
"Arkansas","Jackson County","Rural area","0.219649463891983","0.0294024925678968"
"North Carolina","Rutherford County","Small town","0.219365805387497","0.0211006924510002"
"Mississippi","Greene County","Rural area","0.219260320067406","0.061702024191618"
"Washington","Grays Harbor County","Small town","0.219205006957054","0.0164849441498518"
"Oregon","Linn County","Metro area","0.218938693404198","0.0122766122221947"
"Georgia","Thomas County","Small town","0.218889340758324","0.0200978443026543"
"Oklahoma","Greer County","Rural area","0.218794494867325","0.0472145676612854"
"Georgia","Jeff Davis County","Rural area","0.21875","0.0401586927473545"
"Arkansas","Lafayette County","Rural area","0.218527317047119","0.0392332598567009"
"Michigan","Muskegon County","Metro area","0.218442857265472","0.00974331982433796"
"Georgia","Butts County","Metro area","0.218172416090965","0.0371818207204342"
"Virginia","Dickenson County","Small town","0.217836499214172","0.0302486214786768"
"North Dakota","Benson County","Rural area","0.217545419931412","0.0243367999792099"
"Georgia","Wilkes County","Rural area","0.217358484864235","0.0386196821928024"
"Mississippi","Perry County","Metro area","0.217332437634468","0.037985734641552"
"Indiana","Fayette County","Small town","0.217303603887558","0.0201005693525076"
"Georgia","Spalding County","Metro area","0.217247098684311","0.0205211937427521"
"Kentucky","Marion County","Rural area","0.21712826192379","0.0302197709679604"
"Texas","McCulloch County","Rural area","0.217026770114899","0.0518093220889568"
"Missouri","Butler County","Small town","0.216417908668518","0.0178303197026253"
"Oregon","Lane County","Metro area","0.216167211532593","0.00676153367385268"
"Florida","DeSoto County","Small town","0.216043442487717","0.0256506949663162"
"Washington","Cowlitz County","Metro area","0.215951204299927","0.0129709513857961"
"Louisiana","Morehouse Parish","Small town","0.215905770659447","0.0219469498842955"
"Oregon","Jackson County","Metro area","0.215853467583656","0.011534602381289"
"Tennessee","Hardin County","Rural area","0.215794771909714","0.0209188275039196"
"Oklahoma","McCurtain County","Rural area","0.215755805373192","0.0153207620605826"
"Alabama","Conecuh County","Rural area","0.215520635247231","0.0314025692641735"
"Georgia","Jenkins County","Rural area","0.215250417590141","0.0449513606727123"
"Alabama","Lamar County","Rural area","0.215141430497169","0.0285814926028252"
"Kentucky","Montgomery County","Small town","0.214943200349808","0.0290135964751244"
"Ohio","Muskingum County","Small town","0.214845806360245","0.013929377309978"
"North Carolina","Tyrrell County","Small town","0.214824989438057","0.0661433190107346"
"North Carolina","Chowan County","Rural area","0.214803576469421","0.0361206121742725"
"South Carolina","Chesterfield County","Rural area","0.214615896344185","0.0192083548754454"
"Arkansas","Nevada County","Small town","0.21402108669281","0.0450848862528801"
"Colorado","Prowers County","Rural area","0.214008569717407","0.0407120622694492"
"Ohio","Hocking County","Metro area","0.213932543992996","0.0222353842109442"
"Alabama","Russell County","Metro area","0.213853940367699","0.0196333564817905"
"Wisconsin","Ashland County","Rural area","0.213793098926544","0.0194284748286009"
"North Carolina","Sampson County","Rural area","0.213764876127243","0.0183167792856693"
"Louisiana","Lincoln Parish","Small town","0.213544100522995","0.0209359880536795"
"Mississippi","Lowndes County","Small town","0.213487580418587","0.0169406235218048"
"Mississippi","Pike County","Small town","0.213358700275421","0.021754277870059"
"Tennessee","DeKalb County","Rural area","0.213318437337875","0.033057413995266"
"Washington","Okanogan County","Rural area","0.212985008955002","0.0202302075922489"
